unit,tag,application,bow,rifle,sep_early,sep_late,oct_early,oct_late
2,101,427,1,0,1,0,0,0
5a,5,28,1,0,1,0,0,0
5b,67,260,1,0,1,0,0,0
6a,126,999,1,0,1,0,0,0
6b,21,489,1,0,1,0,0,0
6c,126,596,1,0,1,0,0,0
7,14,50,1,0,1,0,0,0
10,105,331,1,0,1,0,0,0
12,31,110,1,0,1,0,0,0
13,160,565,1,0,1,0,0,0
15,294,1575,1,0,1,0,0,0
16a,210,1076,1,0,1,0,0,0
16b,190,587,1,0,1,0,0,0
16c,121,443,1,0,1,0,0,0
16d,76,650,1,0,1,0,0,0
16e,76,222,1,0,1,0,0,0
17,105,459,1,0,1,0,0,0
18,21,54,1,0,1,0,0,0
21a,42,185,1,0,1,0,0,0
21b,17,30,1,0,1,0,0,0
23,105,276,1,0,1,0,0,0
24,13,34,1,0,1,0,0,0
30,9,85,1,0,1,0,0,0
34,168,1743,1,0,1,0,0,0
36,112,788,1,0,1,0,0,0
37,34,197,1,0,1,0,0,0
45,63,308,1,0,1,0,0,0
48,84,194,1,0,1,0,0,0
49,51,314,1,0,1,0,0,0
50,44,65,1,0,1,0,0,0
51,152,701,1,0,1,0,0,0
52,194,717,1,0,1,0,0,0
56,5,29,1,0,1,0,0,0
57,3,23,1,0,1,0,0,0
2,101,587,1,0,0,1,0,0
5a,5,37,1,0,0,1,0,0
5b,63,429,1,0,0,1,0,0
6a,86,1318,1,0,0,1,0,0
6b,21,856,1,0,0,1,0,0
6c,90,797,1,0,0,1,0,0
7,13,91,1,0,0,1,0,0
9,98,167,1,0,0,1,0,0
9,5,42,1,0,0,1,0,0
10,105,468,1,0,0,1,0,0
12,30,173,1,0,0,1,0,0
13,116,830,1,0,0,1,0,0
15,210,2327,1,0,0,1,0,0
16a,126,1667,1,0,0,1,0,0
16b,139,804,1,0,0,1,0,0
16c,84,633,1,0,0,1,0,0
16d,51,1061,1,0,0,1,0,0
166e,51,195,1,0,0,1,0,0
17,63,712,1,0,0,1,0,0
18,21,108,1,0,0,1,0,0
21a,43,230,1,0,0,1,0,0
21b,21,69,1,0,0,1,0,0
23,63,271,1,0,0,1,0,0
24,10,55,1,0,0,1,0,0
30,9,196,1,0,0,1,0,0
34,169,2620,1,0,0,1,0,0
36,111,1189,1,0,0,1,0,0
37,26,316,1,0,0,1,0,0
45,62,505,1,0,0,1,0,0
48,82,234,1,0,0,1,0,0
49,50,443,1,0,0,1,0,0
50,39,86,1,0,0,1,0,0
51,153,1001,1,0,0,1,0,0
52,194,1046,1,0,0,1,0,0
53,56,147,1,0,0,1,0,0
53,51,201,1,0,0,1,0,0
56,5,49,1,0,0,1,0,0
57,2,24,1,0,0,1,0,0
5a,10,77,0,1,0,0,1,0
5b,73,788,0,1,0,0,1,0
6a,84,1828,0,1,0,0,1,0
6b,17,1018,0,1,0,0,1,0
6c,89,561,0,1,0,0,1,0
12,30,440,0,1,0,0,1,0
14,10,176,0,1,0,0,1,0
16,21,824,0,1,0,0,1,0
18,9,334,0,1,0,0,1,0
21a,13,300,0,1,0,0,1,0
21b,9,107,0,1,0,0,1,0
30,17,678,0,1,0,0,1,0
38,9,117,0,1,0,0,1,0
42,9,162,0,1,0,0,1,0
43,29,236,0,1,0,0,1,0
49,65,928,0,1,0,0,1,0
50,110,255,0,1,0,0,1,0
51,185,2224,0,1,0,0,1,0
56,9,162,0,1,0,0,1,0
57,9,120,0,1,0,0,1,0
58,5,116,0,1,0,0,1,0
2,63,1840,0,1,0,0,0,1
5a,20,93,0,1,0,0,0,1
5b,73,286,0,1,0,0,0,1
6a,87,935,0,1,0,0,0,1
6b,13,1803,0,1,0,0,0,1
6c,89,1073,0,1,0,0,0,1
7,29,246,0,1,0,0,0,1
10,59,895,0,1,0,0,0,1
12,121,631,0,1,0,0,0,1
16a,168,5123,0,1,0,0,0,1
6b,114,789,0,1,0,0,0,1
22,135,561,0,1,0,0,0,1
16c,119,1726,0,1,0,0,0,1
16d,89,3222,0,1,0,0,0,1
16e,59,486,0,1,0,0,0,1
21a,77,455,0,1,0,0,0,1
21b,35,151,0,1,0,0,0,1
23,63,372,0,1,0,0,0,1
24,14,168,0,1,0,0,0,1
30,9,855,0,1,0,0,0,1
34,126,6170,0,1,0,0,0,1
36,118,3037,0,1,0,0,0,1
37,26,680,0,1,0,0,0,1
38,9,301,0,1,0,0,0,1
45,240,1367,0,1,0,0,0,1
48,108,496,0,1,0,0,0,1
49,64,460,0,1,0,0,0,1
50,114,166,0,1,0,0,0,1
51a,185,1157,0,1,0,0,0,1
51b,185,773,0,1,0,0,0,1
52,390,3112,0,1,0,0,0,1
